
2025-02-17T00:18:18.814515,xqc,pettasdun,??????
2025-02-17T00:18:18.848818,cellbit,toio7fear,@qualquer_pssoa poucos minutinhas atrás bem no comecinho ainda
2025-02-17T00:18:18.871951,gotaga,sky_nesst,@remi_tlz merci remi
2025-02-17T00:18:18.896709,illojuan,xinaski_,KEKW
2025-02-17T00:18:18.976409,xqc,yippi7,Pointless
2025-02-17T00:18:19.001411,xqc,onlinepresence19,WTFF
2025-02-17T00:18:19.069762,illojuan,josefran455,LAS DEL TELÉFONO NO ERAN NECESARIAS XD
2025-02-17T00:18:19.127419,illojuan,saracrossing2,D:
2025-02-17T00:18:19.152374,doublelift,dogmanswag,"@Z_Frankenstein him taking more time to base lets enemy bot push in next wave. also plate is still going to be up, wave dies before plate falls"
2025-02-17T00:18:19.175544,ludwig,eznoob96_,just don’t get hit
2025-02-17T00:18:19.255510,swiftor,jd1572,Chucky!!
2025-02-17T00:18:19.365675,cohhcarnage,carlitoskhon,@Suzunahara cohhL
2025-02-17T00:18:19.465581,cohhcarnage,sylarol,any birds in here getting hot yet?
2025-02-17T00:18:19.488679,xqc,pudim7xx,Pointless
2025-02-17T00:18:19.488754,xqc,rurzw,i think with the old toy stories was lighting issues
2025-02-17T00:18:19.488806,xqc,almightylulz,Listening
2025-02-17T00:18:19.512057,illojuan,crisstianz,Listening
2025-02-17T00:18:19.597598,xqc,yahsirio,stop
2025-02-17T00:18:19.632778,skipnho,jhondx3,monkaS
2025-02-17T00:18:19.661988,xqc,drkmnm,Aware not in china
2025-02-17T00:18:19.722738,xqc,jrsyn,TrollDespair Despairing
2025-02-17T00:18:19.784886,illojuan,robster_m,KEK
2025-02-17T00:18:19.812778,cellbit,amonikasz,cellHmm cellHmm cellHmm
2025-02-17T00:18:19.835854,rainbow6,keelan475,!uptime
2025-02-17T00:18:19.835937,ludwig,jubbeh,TWEAKS
2025-02-17T00:18:19.859298,fortnite,xsetdangerous,UH
2025-02-17T00:18:19.882621,jukes,rodrigogames56,mds
2025-02-17T00:18:19.882708,cellbit,mittyay,Nkce
2025-02-17T00:18:19.905754,xqc,marz777,brother
2025-02-17T00:18:19.905852,illojuan,andresnvt,KEK 󠀀
2025-02-17T00:18:19.928968,xqc,paracosmdd,Pointless
2025-02-17T00:18:19.952177,xqc,mokutomm,randy numan classic
2025-02-17T00:18:19.952276,loltyler1,canucksfan234,tyler1H
2025-02-17T00:18:19.975982,rainbow6,bahaa00111,let's go falconssss
2025-02-17T00:18:19.999198,xqc,leagueofblues,SAJ
2025-02-17T00:18:20.022837,shroud,hector_07,Didnt you start near dokebi/ghost
2025-02-17T00:18:20.046037,rainbow6,jawnee,No kapkan bans are so nice to see. Console lameos cannot fathom that
2025-02-17T00:18:20.069098,ludwig,pastamystic,hbox has kept this surprisingly even
2025-02-17T00:18:20.096193,xqc,smeagx,Aware
2025-02-17T00:18:20.125973,loltyler1,tomato_neo,om
2025-02-17T00:18:20.149187,illojuan,kharkan_,Posture MALDING
2025-02-17T00:18:20.149271,shroud,miggyfurious,"hereford map is gone gone, dang."
2025-02-17T00:18:20.172368,xqc,snowchild66,cant fly Aware 󠀀
2025-02-17T00:18:20.172464,gotaga,rodolfeee,le boss
2025-02-17T00:18:20.195471,forsen,battorabaj,forsenE
2025-02-17T00:18:20.195587,cellbit,juhsyrax,boaa
2025-02-17T00:18:20.195653,fortnite,youtubekingluke,come on bugha 200 lump clix
2025-02-17T00:18:20.218609,rainbow6,moobot,@keelan475 7h 21m
2025-02-17T00:18:20.241828,xqc,celebi_dx,STOP
2025-02-17T00:18:20.271629,xqc,aroutsii,xQxi
2025-02-17T00:18:20.298655,cellbit,sorveteir2,minha miopia ta foda
2025-02-17T00:18:20.356557,xqc,wearycare,eww dont
2025-02-17T00:18:20.379927,xqc,seshakk,eww
2025-02-17T00:18:20.402970,jukes,pafon22,PopGhost
2025-02-17T00:18:20.403068,loltyler1,dyang44,HAHAHHA
2025-02-17T00:18:20.426082,loltyler1,7oppihkrad,Dentge
2025-02-17T00:18:20.476456,illojuan,kaijo_u,D:
2025-02-17T00:18:20.499671,xqc,icolas03,do do do doo
2025-02-17T00:18:20.545980,illojuan,pollox,D:
2025-02-17T00:18:20.569744,loltyler1,aranilde2,Dentge
2025-02-17T00:18:20.594502,jukes,leeuzvlr,Wizer e CarioK refens
2025-02-17T00:18:20.594571,xqc,grizzlyhead,TrollDespair
