Timestamp,Channel,User,Message
2025-04-28T02:24:07.781270,cellbit,henriziimmermann,dó
2025-04-28T02:24:07.836794,cellbit,akastens,eu cavo mais fundo cavo mais forte cavo melhor
2025-04-28T02:24:07.892210,xqc,n0erb,BAND 󠀀
2025-04-28T02:24:07.989695,cellbit,patinh0feiu,Om INACREDITÁVEL Om
2025-04-28T02:24:08.045171,xqc,kappa_slash_slash,@killerseth7 BAND UR GONE BUB
2025-04-28T02:24:08.045341,forsen,dispersa1,wheres hoku
2025-04-28T02:24:08.126855,cellbit,wendelstekker,MANO SE TINHA UM TRABALHO Om
2025-04-28T02:24:08.182474,cellbit,silva_allan,da ctrl+\
2025-04-28T02:24:08.182657,xqc,akhen2k,BAND
2025-04-28T02:24:08.237833,cellbit,loreenz__,NYEHEHEHE
2025-04-28T02:24:08.238022,cellbit,paoulla,OMEGALUL kkkkk
2025-04-28T02:24:08.308702,cellbit,errante5,Om olha o vod
2025-04-28T02:24:08.476542,xqc,aade_,say it with your CHEST BRO
2025-04-28T02:24:08.751680,summit1g,rasta_sp,@JLangg sumLEL go to bed kid
2025-04-28T02:24:08.823733,nl_kripp,kashmir_slippers,aideN 󠀀
2025-04-28T02:24:08.899181,bratishkinoff,sabirdys,"и знает, кто такой сабир"
2025-04-28T02:24:09.285190,cellbit,radiospeaker,Pqp
2025-04-28T02:24:09.433985,cellbit,wendelstekker,MANO  SE TINHA UM TRABALHO Om
2025-04-28T02:24:09.591180,cellbit,ayuchaos,oi mods cellAPOSTA
2025-04-28T02:24:09.847519,cellbit,varion_0_castanho,cellE cellClap cellClap
2025-04-28T02:24:09.916955,cellbit,makiafk,WAJAJA IMAGINA NOS OUTROS 45
2025-04-28T02:24:09.972153,summit1g,dumfawks,@bluesparc I didn't say he wants to play with him but lying to summit because you don't like the guy is some weird shit
2025-04-28T02:24:10.094625,cellbit,eduarado0,WAJAJA
2025-04-28T02:24:10.149860,cellbit,trakolll,...
2025-04-28T02:24:10.206149,cellbit,silva_allan,da ctrl+z
2025-04-28T02:24:10.261301,xqc,aade_,nah
2025-04-28T02:24:10.350569,xqc,vanpuldo,BAND
2025-04-28T02:24:10.405853,cellbit,taand,IEWP[QOIOEP[QW
2025-04-28T02:24:10.406006,forsen,hksht,d1
2025-04-28T02:24:10.406092,greekgodx,kinvob,but didnt post on ytb or live?
2025-04-28T02:24:10.406204,summit1g,karangezzy,@summit1g watch landmark workout
2025-04-28T02:24:10.461017,nl_kripp,mike_chriss,ALERT
2025-04-28T02:24:10.574881,forsen,seanduck3s,AYAYA TeaTime fishu
2025-04-28T02:24:10.630195,castro_1021,ved_gg,WE SHOULD DO LIVE VOD FOOTAGE
2025-04-28T02:24:10.789999,xqc,elyasbtw,@kkarioshi GAMBA
2025-04-28T02:24:10.912273,cellbit,pedro__felix,CTRL+Z
2025-04-28T02:24:11.081470,xqc,benicesmile,@grene222 mad because i said xqc can afford to stream when he wants is crazy work LOL
2025-04-28T02:24:11.136733,xqc,n0erb,BAND
2025-04-28T02:24:11.195601,cellbit,m_peraltzz,pqp
2025-04-28T02:24:11.250954,cellbit,vasques_mari,Om
2025-04-28T02:24:11.368140,cellbit,cozi11,"@rarinha meu mano cellbit tinha a faca e o queijo, ele derrubou o queijo no chão e enfiou a faca no cu"
2025-04-28T02:24:11.550473,castro_1021,saltlife999,@ignacio8512 youre ignorant
2025-04-28T02:24:11.716270,xqc,wootomas,BAND 󠀀
2025-04-28T02:24:11.882552,cellbit,stephaniegs,"nossa, que missclick cruel ;-;"
2025-04-28T02:24:11.937769,xqc,ethercoiin,BAND HOLY
2025-04-28T02:24:11.993043,cellbit,uden0,WAJAJA
2025-04-28T02:24:12.154697,cellbit,luccaaas,PepeLaugh 👉 cellE 💢
2025-04-28T02:24:12.331957,cellbit,nanattys,cellSOCIEDADE
2025-04-28T02:24:12.387189,xqc,kastrec,@killerseth7 BAND
2025-04-28T02:24:12.442545,summit1g,xsukunavape,@kaicenat Go to NEXJAGG @kaicenat Go to NEXJAGG @kaicenat Go to NEXJAGG @kaicenat Go to NEXJAGG @kaicenat Go to NEXJAGG @kaicenat Go to NEXJAGG HES LIVE! HES LIVE! PepegaChat
2025-04-28T02:24:12.497837,scarra,izikperz,can you explain mana lock
2025-04-28T02:24:12.553058,cellbit,positron_0,ele e bom nisso cellEz
2025-04-28T02:24:12.627354,castro_1021,hammeren64,Tolu to beach soccer
2025-04-28T02:24:12.685032,cdnthe3rd,baldylockzz,diet is everything
2025-04-28T02:24:12.740345,cellbit,jaque_bt,OMEGALUL
2025-04-28T02:24:12.797222,cellbit,rayvixszx,MAIS 40 MIN SO NISSO CHAT
2025-04-28T02:24:12.852442,summit1g,reign4ll,@xSukunaVape BigDog
2025-04-28T02:24:12.852594,bratishkinoff,sabirdys,меня ж чморить будут
2025-04-28T02:24:12.952348,xqc,xqc_bigest_fan_ever_380kg,BAND 󠀀
2025-04-28T02:24:13.008400,cellbit,sorveteir2,Om
2025-04-28T02:24:13.063651,xqc,aade_,SAY IT WITH UR CHEST
2025-04-28T02:24:13.183851,cellbit,maluly_lara,Tô me sentindo uma jumenta com esse jogo cellNAAAO cellNAAAO
2025-04-28T02:24:13.258661,cellbit,futauta,cellW cellW
2025-04-28T02:24:13.313923,xqc,2nimbl,BAND
2025-04-28T02:24:13.587640,cellbit,lunatrov,Om como????
2025-04-28T02:24:13.722690,greekgodx,kinvob,last years?
2025-04-28T02:24:13.860888,nl_kripp,liftplus,@bigshrubby NOTED
2025-04-28T02:24:13.970916,cellbit,eredinie,da ctrl z
2025-04-28T02:24:14.346083,forsen,battorabaj,sean RlyTho
2025-04-28T02:24:14.401578,cellbit,taand,WhySoSerious
2025-04-28T02:24:14.457092,shroud,skinny2007,"@shroud Expedition 33 bro, finish this game so you can get to the GotY"
2025-04-28T02:24:14.512309,cellbit,thamylikescoffee,PepeLaugh TeaTime a qualquer momento
2025-04-28T02:24:14.512451,shroud,squidleyspooch,@Dark1lla i'm glad they did dont get me wrong but like holy shit why
2025-04-28T02:24:14.726551,castro_1021,ceroky8,we always have unserious played
2025-04-28T02:24:14.812687,forsen,dispersa1,oh no way
2025-04-28T02:24:14.940291,castro_1021,paytonmcclain,WHO DO WE PLAY NEXT WEEK??????
2025-04-28T02:24:15.145544,cellbit,slathyel,Meu mano engasgou
2025-04-28T02:24:15.205170,nl_kripp,srg_moss,Why do you go for power drill over Race Carl on a bug build
2025-04-28T02:24:15.260383,castro_1021,camo_btc,3th
2025-04-28T02:24:15.315746,bratishkinoff,rouge1477,HM
2025-04-28T02:24:15.315939,summit1g,drago_mdk,@JorkinInTheCloset good luck!!!
2025-04-28T02:24:15.370965,cellbit,dt_kruger,cellE cellE cellE cellE cellE
2025-04-28T02:24:15.371126,nl_kripp,huntercrazed,We are the minority in terms of what a video game is
2025-04-28T02:24:15.429382,cellbit,isaacaway,WAJAJA B+ MESMO
2025-04-28T02:24:15.514312,cellbit,omatheeeus,Om 󠀀
2025-04-28T02:24:15.569559,cellbit,lueina0_0,LELEDACUCA
2025-04-28T02:24:15.569711,cellbit,gatamixuruca,Tu te encontras
2025-04-28T02:24:15.744273,shroud,iwasbandnowimnot,say that again? dentt
2025-04-28T02:24:15.912228,shroud,fossabot,AGAIN
2025-04-28T02:24:15.967498,cellbit,guifthitman,cellW cellW cellW
2025-04-28T02:24:16.273783,cellbit,todd_draws_,emocionado
2025-04-28T02:24:16.356353,xqc,fakeman234,FeelsLateMan
2025-04-28T02:24:16.483933,cellbit,fechpo_,WAJAJA
2025-04-28T02:24:16.539167,cellbit,makiafk,Om
2025-04-28T02:24:16.594367,summit1g,candorthefat,@MAJORJOOGS WeirdDude
2025-04-28T02:24:16.649717,cellbit,omatheeeus,Om
2025-04-28T02:24:16.740573,cellbit,varion_0_castanho,cellE cellClap
2025-04-28T02:24:16.929536,bratishkinoff,sabirdys,"не, нахуй"
2025-04-28T02:24:17.141086,cellbit,milesrafa,Om Om
2025-04-28T02:24:17.221480,cellbit,baiduavasthao123,cellNAAAO cellNAAAO
2025-04-28T02:24:17.276789,summit1g,cyllium,"@rasta_sp Agreed, so many people looked into his stuff and said that he is growing naturally with the help of tiktok and yt shorts and such. Its getting dumb at this point."
2025-04-28T02:24:17.375542,xqc,gaussianalien,BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND
2025-04-28T02:24:17.444927,cellbit,guzzwhite,garoteou WAJAJA
2025-04-28T02:24:17.566178,greekgodx,donkeyfunn,both dogshit <3
2025-04-28T02:24:17.621444,summit1g,aaronthearkitek,@majorjoogs wrong chat yo
2025-04-28T02:24:17.621612,xqc,hearthos,BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND
2025-04-28T02:24:17.779309,summit1g,emdof,gssh op
2025-04-28T02:24:17.910823,summit1g,goyem,@JorkinInTheCloset i got a box of crispy cremes if you want it monkaLaugh
2025-04-28T02:24:18.178613,cellbit,manu_eliza,cellFlushed cellFlushed cellFlushed cellFlushed
2025-04-28T02:24:18.234158,nl_kripp,firewings52,anyone have opinions on Clair Obscur?
2025-04-28T02:24:18.234319,forsen,dispersa1,hi hoku demeWave
2025-04-28T02:24:18.289396,xqc,xqc_bigest_fan_ever_380kg,BAND
2025-04-28T02:24:18.344594,xqc,2nimbl,LOOL
2025-04-28T02:24:18.399946,bratishkinoff,rouge1477,спроси
2025-04-28T02:24:18.400131,forsen,seanduck3s,what
2025-04-28T02:24:18.400230,castro_1021,carlosprz23,Tough lose brother. but we still have a chance next week
2025-04-28T02:24:18.773297,cellbit,noiakiller,Os cara do timer ta feliz agr kaksks slk
2025-04-28T02:24:18.828466,cellbit,pedro__felix,kkkkkkkkkkkkkk
2025-04-28T02:24:18.884041,nl_kripp,luna_bright,Most of you in this chat couldnt string together a sentence. This guy drops paragraphs. It's why he is a millionaire and you are at home watching him.  NEVER forget that.
2025-04-28T02:24:18.939413,shroud,bamfhealer,@Nixuh_Butters yeah well step over this line ______ and see what happens.
2025-04-28T02:24:19.050578,cellbit,lueina0_0,Om
2025-04-28T02:24:19.302567,cellbit,underworld_spring,vc fez o mais difícil Om
2025-04-28T02:24:19.357712,summit1g,joeboloney,@JorkinInTheCloset best of luck be strong
2025-04-28T02:24:19.412919,cellbit,coelho_maluco,Om COMO????
2025-04-28T02:24:19.481181,xqc,devious_1337,BAND
2025-04-28T02:24:19.539739,summit1g,stevouhmilli,You have headphones bro
2025-04-28T02:24:19.927184,cellbit,d_sheridan,tu percebes que tu estás maluco?
2025-04-28T02:24:19.982550,cellbit,l4vizinyt,Om
2025-04-28T02:24:19.982702,cellbit,joaovitta_,Om KKKKKKKKK vsf quebrei pra krl
2025-04-28T02:24:20.037871,forsen,hksht,yes way
2025-04-28T02:24:20.038035,nl_kripp,darkarrak,"especially with, what are they called, live service games?"
2025-04-28T02:24:20.155138,xqc,aade_,BAND
2025-04-28T02:24:20.270917,cellbit,marquinhodorna,eu quero morerrrrrr
2025-04-28T02:24:20.326370,cellbit,jaque_bt,RAGEBEAR
2025-04-28T02:24:20.326548,cellbit,varion_0_castanho,cellE cellClap cellClap
2025-04-28T02:24:20.381713,castro_1021,abelsanchew19,"tolu being a franchise player doing those mistakes lol 😂 get out, get someone new"
2025-04-28T02:24:20.381869,nl_kripp,tidolar,"@Bigguyinthesky core gamers are the minority though, it's casual gamers who are the large majority"
2025-04-28T02:24:20.722653,xqc,wootomas,BAND
2025-04-28T02:24:20.928619,forsen,seanduck3s,nyaachoObake
2025-04-28T02:24:20.983869,forsen,realestfkndealest,?cookie
2025-04-28T02:24:21.039085,cellbit,luccaaas,PepeLaugh 👉 cellE 💢 󠀀
2025-04-28T02:24:21.094474,xqc,n0erb,BAND 󠀀
2025-04-28T02:24:21.094661,cellbit,pacos2222,Parabeins cindy
2025-04-28T02:24:21.171196,cellbit,thamylikescoffee,LELEDACUCA
2025-04-28T02:24:21.248219,nl_kripp,mythiqke,"@Bigguyinthesky Nah, people are just trying to do stuff they might enjoy and for reason that motivates them. This narrative is kind of wrong."
2025-04-28T02:24:21.303559,cellbit,sharkoso_,MEU CABRA ESTÁ LAVADO WAJAJA
2025-04-28T02:24:21.417674,cellbit,dragonnys,Om
2025-04-28T02:24:21.527777,xqc,iepicnoob,BAND
2025-04-28T02:24:21.582957,cellbit,kssnlyy,Om
2025-04-28T02:24:21.638077,greekgodx,nightfury9760,u guys got this
2025-04-28T02:24:21.638247,xqc,aade_,BAND
2025-04-28T02:24:21.775892,forsen,supibot,"@realestfkndealest is no longer AFK: [Braille copypasta] (7h, 20m ago)"
2025-04-28T02:24:21.915056,summit1g,glumsitv,Peanut is hilarious but hes not taking tarkov very seriously haha
2025-04-28T02:24:22.103633,nl_kripp,b0bblehat,@alpha_silverback_man NOTED
2025-04-28T02:24:22.291824,forsen,thepositivebot,ACTION [Cookies] [Masters] realestfkndealest -> Chocolate Chip! (+6) PartyTime | 2330 total! | 2 hour cooldown... 🍪
2025-04-28T02:24:22.405916,forsen,fishubox,@seanduck3s  swtKiss
2025-04-28T02:24:22.461170,cellbit,kanidom,Om  󠀀
2025-04-28T02:24:22.516417,xqc,unarry,BAND
2025-04-28T02:24:22.628770,cellbit,vasques_mari,cara....
2025-04-28T02:24:22.684159,xqc,kastrec,BAND 󠀀
2025-04-28T02:24:22.986289,castro_1021,ceroky8,players
2025-04-28T02:24:23.041503,greekgodx,kinvob,Sadge
2025-04-28T02:24:23.301509,shroud,n0_ma_d,wait is he like camo
2025-04-28T02:24:23.485988,cellbit,ctrlclara,Om
2025-04-28T02:24:23.541211,xqc,2nimbl,BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND
2025-04-28T02:24:23.617995,cellbit,nyx_mgvl,Om
2025-04-28T02:24:23.673306,xqc,lpsyk_,BAND
2025-04-28T02:24:23.728862,cellbit,sensyofc,B+
2025-04-28T02:24:23.729026,forsen,hksht,hi d1 demeWave
2025-04-28T02:24:23.784186,xqc,xqc_bigest_fan_ever_380kg,BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND BAND
2025-04-28T02:24:23.784381,cellbit,gadoardo01,WAJAJA cellClap
2025-04-28T02:24:24.006494,cellbit,luccaaas,PepeLaugh 👉 cellE 💢
2025-04-28T02:24:24.130427,xqc,tenthave,holy BAND
2025-04-28T02:24:24.332619,summit1g,itsgibbzlol,you can only use gssh with ushonk
2025-04-28T02:24:24.624227,xqc,kappa_slash_slash,BAND 4 BAND
2025-04-28T02:24:24.781011,cellbit,makiafk,Om 󠀀
2025-04-28T02:24:25.136461,cellbit,vinyon_,mds é o Kim Jun Mento Om
2025-04-28T02:24:25.445262,cellbit,yuucosmiclove,Om
2025-04-28T02:24:25.500859,cellbit,camzhwa,Tinha que ser b+ mesmo
2025-04-28T02:24:25.657920,cellbit,milesrafa,Quebrei
2025-04-28T02:24:25.713276,cellbit,miicrowwave,LELEDACUCA
2025-04-28T02:24:25.768444,cellbit,taand,espanque um stramer
2025-04-28T02:24:25.959174,castro_1021,ved_gg,we should watch the vods back
2025-04-28T02:24:26.076430,nl_kripp,trisilicon,"@Bigguyinthesky in theory stock price dropping doesn't affect the company much, except that the execs are stockholders"
2025-04-28T02:24:26.131608,cellbit,cozi11,"@rarinha  meu mano cellbit tinha a faca e o queijo, ele derrubou o queijo no chão e enfiou a faca no cu"
2025-04-28T02:24:26.511760,summit1g,ieatbeeeftacos,sumDuck
2025-04-28T02:24:26.567157,cellbit,thamylikescoffee,Insane
2025-04-28T02:24:26.567306,bratishkinoff,senior_lukumich,@sabirdys Че
2025-04-28T02:24:26.622818,cellbit,tjoaopedrsalve,WhySoSerious
2025-04-28T02:24:26.813439,forsen,battorabaj,sean take off that hood
2025-04-28T02:24:27.005188,xqc,realbobby64,!title
2025-04-28T02:24:27.191718,xqc,wootomas,BAND 󠀀
2025-04-28T02:24:27.247009,cellbit,paletlilac_,cellPFFF cellPFFF cellPFFF
2025-04-28T02:24:27.247222,xqc,user196374,!lastseen xqc
2025-04-28T02:24:27.247313,cellbit,yami_hime_,Om Om
2025-04-28T02:24:27.247419,castro_1021,flashmasterrhymeking,top teams have to also play each other
2025-04-28T02:24:27.247508,xqc,fossabot,@realbobby64 Title for xQc: Not Live anywhere 🥲
2025-04-28T02:24:27.436167,cellbit,kettyoff,IMPOSSIVEL CELLBIT
2025-04-28T02:24:27.511870,xqc,schnozebot,"user196374, xQc was last seen 1 day and 1 hour ago, and last active 1 day and 6 hours ago."
2025-04-28T02:24:28.239916,cellbit,guihooded,Om que isso
2025-04-28T02:24:28.295274,cellbit,gabiipocket,Om o cara representando bem o B+ no enem
2025-04-28T02:24:28.350777,scarra,fassiet1,if u dont go tf 3 who is the carry ?
2025-04-28T02:24:28.415655,xqc,mazerowski,BAND he @ ed him too omeDamn
2025-04-28T02:24:28.470889,cellbit,fechpo_,WAJAJA 󠀀
2025-04-28T02:24:28.471073,cellbit,sensyofc,B+ WAJAJA
2025-04-28T02:24:28.582510,cellbit,soffirt,Om
2025-04-28T02:24:28.711875,xqc,kappa_slash_slash,.. BAND 4 BAND
2025-04-28T02:24:28.864221,bratishkinoff,bahhchcutesadkoshka,господи ты ну совсем уже накручиваешь
2025-04-28T02:24:29.042962,scarra,rafubaker,@izikperz unit doesnt gain mana while casting
2025-04-28T02:24:29.098234,bratishkinoff,sabirdys,как ты себе это представляешь
2025-04-28T02:24:29.154442,cellbit,manu_eliza,cellSOCIEDADE cellSOCIEDADE cellSOCIEDADE cellSOCIEDADE
2025-04-28T02:24:29.209721,cellbit,eredinie,Om KSDKDAKSL\
2025-04-28T02:24:29.554572,cellbit,solavoloucademanha,Cacete the cabra is lavaded
2025-04-28T02:24:29.609758,cellbit,lena_estupida,peepoLaugh
2025-04-28T02:24:29.681486,cellbit,dumbt_ennboy,calma
2025-04-28T02:24:29.746094,xqc,n0erb,BAND
2025-04-28T02:24:29.801282,cellbit,taand,streamer
2025-04-28T02:24:29.856568,shroud,medvediseva,place a bag?
2025-04-28T02:24:29.911774,forsen,realestfkndealest,?cdr
2025-04-28T02:24:29.911925,xqc,kappa_slash_slash,.. BAND 4 BAND .
2025-04-28T02:24:30.022131,nl_kripp,ohjustsomeguy,Asmon viewers Weirdga 👉 🚪
2025-04-28T02:24:30.077411,cellbit,daniels,mano acho que eu já assistir umas 8 horas de live sua nesse jogo e toda vez que eu entro aqui eu fico mais confuso
2025-04-28T02:24:30.132808,cellbit,nanachansz,OMEGALULiguess
2025-04-28T02:24:30.189882,cellbit,jinsminie,Om LKDJSLKJFKSD
2025-04-28T02:24:30.245244,summit1g,bluesparc,i like both of em @Dumfawks KEKW
2025-04-28T02:24:30.300544,cellbit,iwicko,LELEDACUCA
2025-04-28T02:24:30.355732,xqc,quadmz,BAND THE WALL
2025-04-28T02:24:30.772764,cellbit,luccaaas,PepeLaugh 👉 cellE 💢 󠀀
2025-04-28T02:24:30.827918,cellbit,g4laxydream,cellPFFF cellPFFF cellPFFF
2025-04-28T02:24:31.096521,forsen,thepositivebot,"ACTION [Shop] realestfkndealest, your cooldown has been reset! (-7) Good Luck... ThankEgg"
2025-04-28T02:24:31.589062,summit1g,jorkininthecloset,@drago_mdk thanks man!
2025-04-28T02:24:31.644314,rubius,angelhal2,!rq
2025-04-28T02:24:31.644476,forsen,seanduck3s,nyaachoObake no
2025-04-28T02:24:32.061390,forsen,dispersa1,hoku what have you been up to?
2025-04-28T02:24:32.376461,xqc,kappa_slash_slash,.. BAND 4 BAND ..
2025-04-28T02:24:32.559944,xqc,mazerowski,BAND  he @ ed him too omeDamn
2025-04-28T02:24:32.758229,summit1g,yachyxd,"@jorkininthecloset lock in bud, and you got it"
2025-04-28T02:24:32.857485,cdnthe3rd,canttrips,is this a futuristic tarkov?
2025-04-28T02:24:33.176040,cellbit,guihooded,martelada no yt
2025-04-28T02:24:33.278747,cellbit,mateuzgt,B+
2025-04-28T02:24:33.441026,castro_1021,pickfro,YOU PAY HIM TO DO THAT?
2025-04-28T02:24:33.496299,xqc,mahboobehs,what does B A N N E D mean- josh block
2025-04-28T02:24:33.551637,summit1g,solsomni,click the earpiece slot
2025-04-28T02:24:33.639600,castro_1021,carlosprz23,depending on other teams but theres a chance brother.
2025-04-28T02:24:33.755892,scarra,theomnibro,@izikperz means that unit can't gain mana at all during the ult/cast
2025-04-28T02:24:33.811081,shroud,sloppypuppy,"you should do the quests, there'll be plenty of killing"
2025-04-28T02:24:33.954002,summit1g,xsukunavape,SCHIZO MINERALS donkMiner
2025-04-28T02:24:34.076522,xqc,b8b88bb8,@Aade_ its auto filtered retard
2025-04-28T02:24:34.348414,rubius,madbotkat,ACTION [2024-02-04 18:27:12] #rubius angelhal2: Wonka XDXDXD
2025-04-28T02:24:34.448363,xqc,kappa_slash_slash,.. BAND 4 BAND
2025-04-28T02:24:34.675652,xqc,dylan24571,!title
2025-04-28T02:24:34.730824,xqc,granolabrendon,BAND LIVE NEVER BEFORE LOL
2025-04-28T02:24:34.930196,summit1g,joeboloney,sumDuck
2025-04-28T02:24:34.985398,xqc,fossabot,@dylan24571 Title for xQc: Not Live anywhere 🥲
2025-04-28T02:24:35.172458,greekgodx,thetruegenestarwind,lets admit we both are sucking its okayyyyy
2025-04-28T02:24:35.388300,cellbit,bruno_laurentino,tipico de um B+
2025-04-28T02:24:35.443493,cellbit,omatheeeus,LIDEX pegou sim
2025-04-28T02:24:35.498637,summit1g,getyousome77,"more ammo, gonna be alot of scavos with that loud shotgun"
2025-04-28T02:24:35.553805,shroud,dark1lla,@SquidleySpooch i dont get ur point honestly LOL
2025-04-28T02:24:35.716702,cellbit,trakolll,agora vai...
2025-04-28T02:24:35.784621,xqc,kappa_slash_slash,.. BAND 4 BAND ..
2025-04-28T02:24:35.926244,cellbit,toca_kennyg,qm resolve uma resolve 2 Hmm
2025-04-28T02:24:36.019164,cellbit,nicollyfs5462,b+ btw Om
2025-04-28T02:24:36.074342,forsen,supibot,"@flourbucket, reminder from yourself (1h, 0m ago): 🪤"
2025-04-28T02:24:36.520872,summit1g,sxulstiice,you should do some nighttime stealth runs
2025-04-28T02:24:36.613294,cellbit,aluy__,Om
2025-04-28T02:24:36.836569,shroud,iloveyousenpai1,level up and sleep more space
2025-04-28T02:24:37.130775,cellbit,psicooopato,"Chat to a 30 dias no tutorial, é normal? que dia o cellbit chegou na sala 46?"
2025-04-28T02:24:37.185931,summit1g,metalmilitia74,@joeboloney nope
2025-04-28T02:24:37.319622,nl_kripp,sylvain269,@DarkArrak You mean multiplayer games>?
2025-04-28T02:24:37.401976,cdnthe3rd,bunslicker3,shitting stones
2025-04-28T02:24:37.603287,cellbit,douglafeio,Meu deus isso vai ser o incidente da pump Room 45 vezes 😭
2025-04-28T02:24:38.296163,cellbit,eredinie,Om O DANIELS
