Timestamp,Channel,User,Message
2025-05-12T14:56:50.302615,forsen,devil_pls,veryFors
2025-05-12T14:56:50.325128,forsen,stickyflake,PagMan 🇮🇳 ☣️ PagMan 🇮🇳 ☣️ PagMan 🇮🇳 ☣️
2025-05-12T14:56:50.397288,buster,avaczi,не пробовал петь?
2025-05-12T14:56:50.460280,forsen,averycutefrog,Pointless 󠀀
2025-05-12T14:56:50.590196,pgl,benwardtriggahands,Zzzzzz
2025-05-12T14:56:50.612647,rainbow6,wolkerr,locklearSTONKS
2025-05-12T14:56:50.647198,forsen,hornycatdog,PagMan OIL
2025-05-12T14:56:50.669723,forsen,fullp0w3r,THEY HAVE NUKES Aware THEY HAVE NUKES Aware THEY HAVE NUKES Aware THEY HAVE NUKES Aware THEY HAVE NUKES Aware
2025-05-12T14:56:50.698920,forsen,xtone_rs3,PagMan NOT FORSEN PagMan NOT FORSEN PagMan NOT FORSEN PagMan NOT FORSEN PagMan NOT FORSEN
2025-05-12T14:56:50.732052,forsen,peeposoap,OMEGALUL BLIND OMEGALUL BLIND OMEGALUL BLIND OMEGALUL BLIND OMEGALUL BLIND OMEGALUL BLIND OMEGALUL BLIND
2025-05-12T14:56:50.813019,drlupo,81808,"@showout_rl sure, it's 1000x worse when an adult man does it though."
2025-05-12T14:56:50.856030,pgl,kottasha,@Moobot thanks bot FeelsOkayMan
2025-05-12T14:56:50.950983,rainbow6,thewaffler0923,r6eAce
2025-05-12T14:56:51.204620,otplol_,eznith,isma est pas belge ?
2025-05-12T14:56:51.227082,forsen,pinarnik,forsenCoomer
2025-05-12T14:56:51.322745,forsen,illsmith04,oil PagMan
2025-05-12T14:56:51.361493,otplol_,kayajp,Sheo est trop fort
2025-05-12T14:56:51.399888,forsen,politehavoc,PauseMan
2025-05-12T14:56:51.422386,rainbow6,turksontwitch,jv kinda look like a young bealou
2025-05-12T14:56:51.444848,forsen,mehdi_fifo,forsenGaAsh translate
2025-05-12T14:56:51.503701,forsen,mynameiswalterhw,UK  YOUTUBE PagMan UK YOUTUBE PagMan UK YOUTUBE PagMan UK YOUTUBE PagMan UK YOUTUBE PagMan UK YOUTUBE PagMan
2025-05-12T14:56:51.584658,forsen,immarcelo,Pog HUNGER GAMES
2025-05-12T14:56:51.765032,knekro,magoc0,notNOTED
2025-05-12T14:56:51.787431,forsen,xtone_rs3,PagMan NOT FORSEN PagMan NOT FORSEN PagMan NOT FORSEN PagMan NOT FORSEN
2025-05-12T14:56:51.870186,forsen,stickyflake,PagMan 🇮🇳 ☣️ PagMan 🇮🇳 ☣️
2025-05-12T14:56:51.912618,forsen,munnauhaloppuupian,PauseMan
2025-05-12T14:56:52.015462,forsen,hooptri,"people having fun, and all you have chat is racist memes"
2025-05-12T14:56:52.130980,caedrel,goth_rock,RAGEFAP
2025-05-12T14:56:52.300935,amouranth,fossabot,HER SOCIAL MEDIA LINKS! 🍑 💦 http://downbad.com http://downbad.com http://downbad.com http://downbad.com http://downbad.com http://downbad.com
2025-05-12T14:56:52.538658,forsen,eluanoix,bangladeshI! wth
2025-05-12T14:56:52.721414,nadeshot,fletch_404,!settings
2025-05-12T14:56:52.782363,knekro,juanmaxd,@Luisrexby WAJAJA
2025-05-12T14:56:52.955488,caedrel,zazageng,odo
2025-05-12T14:56:52.985537,forsen,cs_ga,forsenCD
2025-05-12T14:56:53.036119,knekro,frostime9,NOTED
2025-05-12T14:56:53.095924,buster,arbuz277,DinoDance DinoDance DinoDance DinoDance
2025-05-12T14:56:53.224392,forsen,sseo4,monkaOMEGA WASTING RASHION
