Timestamp,Channel,User,Message
2025-05-18T13:23:35.116703,yogscast,oneofthegoodones,"@fictitiousdreamer in tgaa, yeah"
2025-05-18T13:23:35.178259,bratishkinoff,gunser1212,"@vyri4 крч, ебанный ПСБ въебал за 2к перевод от псб"
2025-05-18T13:23:35.206903,buster,golovach_poz0r_twicha,...
2025-05-18T13:23:35.388240,sasavot,sbln_5opki,да давай залпом алкаш
2025-05-18T13:23:35.456945,sasavot,gloofiet,бля какой же алкаш
2025-05-18T13:23:35.480994,sasavot,zxc_sniff,как воду
2025-05-18T13:23:35.505055,buster,proginrus,Прыщ
2025-05-18T13:23:35.729689,forsen,horstbefehl,Whole and half steps
2025-05-18T13:23:35.753702,sasavot,wiwiusss,бля та в чашку налей пту ты
2025-05-18T13:23:36.058820,pgl,antoboy_tv,!maps
2025-05-18T13:23:36.113695,buster,paladin5032,)))
2025-05-18T13:23:36.204696,sasavot,ya_smile,))
2025-05-18T13:23:36.278986,pgl,moobot,@Antoboy_TV 1. Team Spirit picked Dust2 | 2. Astralis picked Nuke | 3. Team Spirit picked Mirage | 4. Astralis picked Train | 5. Ancient is the decider
2025-05-18T13:23:36.306451,forsen,feelsstrongbot,"HORSTBEFEHL got it right. FeelsStrongMan The answer was ""Whole and half steps"" (100.00% Similarity) · Score: 9 (Mode) 11 (Total)"
2025-05-18T13:23:36.437185,pgl,joltizz,GIGACHAD LAUGHS IT OFF
2025-05-18T13:23:36.484022,sasavot,zoum1k,1 БУТЫЛКА ТОЛЬКО ПОКА ЧТО
2025-05-18T13:23:36.549642,sasavot,nee7e,ФАКТ
2025-05-18T13:23:36.584369,sasavot,phobi99,ахуенно еще и корона
2025-05-18T13:23:36.699073,sasavot,axelotttter,ЕБАТЬ СМАКУЕТ АЖ ВТОРОЙ ДЫХАНИЕ ОТКРЫЛОСЬ
2025-05-18T13:23:36.738093,yogscast,hgfhdhss,HUHH
2025-05-18T13:23:36.802687,buster,pewdm,О
2025-05-18T13:23:36.826641,buster,limpous22,ПУХЛЫЙ ДРАЙВ ТЫ ЕДЕШЬ В ДАЛЛАС????
